person_id,title,firm,start_date,end_date,location
84,SQL Server Database Administrator/developer,International Arctic Research Center,08/2012,09/2017,"Fairbanks, AK"
84,Senior Data Analyst,Climate and Health Institute,07/2010,08/2012,"Arba Minch, ET"
85,Scrum Master/Report Analyst,Republic properties,03/2016,Present,"Fairfax, VA"
85,Agile Business Analyst,Life Science Logistics,2014,2016,
85,Oracle Database Administrator,AT&T,02/2013,12/2013,
86,BUSINESS MANAGER/PURCHASING COORDINATOR,"Danbury, CT",03/2017,Present,"Danbury, CT"
86,SQL DATABASE ADMINISTRATOR,KENNY'S CARPET ONE,03/2015,Present,"Carmel, NY"
86,FREELANCE EXPERIENCE,"ELITE REMODELING-DANBURY, CT, THE PHOENIX AGENCY-FISHKILL, NY, MIKE'S MASONRY- SHRUB OAK, NY",03/2014,Present,
87,Data Warehouse Eng,"NT Concepts, VA",03/18,Present,"NT Concepts, VA"
87,Managed service dba consultant,"Mythics, Inc.",05/16,10/18,"Falls Church, VA"
87,Database Operator/Technician (DOS),"Mythics, Inc.",04/15,04/16,"Falls Church, VA"
87,Oracle Database Administrator(Tier I),"AINET Consulting Group, Inc",07/14,04/15,
88,Senior Oracle Database Administrator,Thomson Reuters Corporation,07/2017,Present,"Arizona City, AZ"
88,Senior Oracle Database Administrator,SEI investments,07/2015,05/2017,"Oaks, PA"
88,Senior Oracle Database Administrator,Sony Corporation of America,09/2014,07/2015,"San Diego, CA"
88,Senior Oracle Administrator,Bayer Business Services,02/2012,07/2014,"Pittsburgh, PA"
88,Oracle Application Database Administrator,Directv,11/2010,02/2012,"Los Angeles, CA"
89,Help Desk Manager,Navajo Nation Gaming Enterprise,06/2016,Present,"Flagstaff, AZ"
89,Database Administrator/ERP Systems Manager,Navajo Nation Gaming Enterprise,01/2010,12/2016,"Flagstaff, AZ"
90,Database Administrator,SRA International,05/14,Present,"Washington, DC"
90,Oracle DBA,APEX Inc.,04/14,05/14,Fall Church
90,STIP Operations Engineer,"Blue Water Federal Solutions, Inc",08/10,04/14,"Arlington, VA"
90,SENTINEL Help Desk,"Blue Water Federal Solutions, Inc",03/11,03/12,"Arlington, VA"
